Qty,Value,Part Num,Package,Parts,,Can Use Generic?
1,MCP1801T-3302I/OT,MCP1801T-3302I/OT,SOT23-3,3V3_REG,,yes
15,100nF,*,C0603,"C1, C2, C3, C4, C5, C6, C8, C9, C10, C11, C12, C13, C14, C16, C21,C7",,yes
2,22p,*,C0805,"C15, C22",,yes
5,1uF,*,C0805,"C17, C18, C19, C20,C24",,yes
1,0.1u,*,C0805,C23,,yes
1,,*,SOD123,D1,,yes
1,181-015-213R561,181-015-213R561,NORCOMP_181-015-213R561,J1,,yes
1,2-1735446-7,2-1735446-7,TE_2-1735446-7,J2,,yes
1,35RASMT2BHNTRX,35RASMT2BHNTRX,SWITCHCRAFT_35RASMT2BHNTRX,J4,,yes
2,22R,*,R0603,"R1, R12",,yes
1,2.2k,*,R0603,R13,,yes
3,510R,*,R0603,"R14, R23, R31",,yes
3,1K,*,R0603,"R16, R24, R32",,yes
3,2K,*,R0603,"R17, R25, R33",,yes
3,4K,*,R0603,"R18, R26, R34",,yes
3,8K,*,R0603,"R19, R27, R35",,yes
1,16K,*,R0603,R28,,yes
2,82R,*,R0603,"R3, R4",,yes
1,10k,*,R0805,R5,,yes
3,10k,*,R0603,"R7, R11, R15",,yes
1, SIT8008BI-13-18E-25.175000G ,ASFLMB-25.000MHZ-LC-T,XTAL_ASDM1-25.000MHZ-LC-T,U$1,,yes
1, TLV70012DDCR , TLV70012DDCR ,SOT23-3,U$2,,yes
1,MX25L1006EMI-10G,MX25L1006EMI-10G,SOIC-8,U$5,,no
1,52808-21700520452145,520452145,520452145,U$6,,yes
1,ICE40HX1K-VQ100,ICE40HX1K-VQ100,QFP50P1600X1600X120-100N,U1,,no
1,SN74LVC245APWR,SN74LVC245APWR,SOP65P640X120-20N,U2,,no
1,MCU-ATMEGA32U4-MUR(VQFN44),ATMEGA32U4,QFN44,U3,,no
1,16MHZ,*,CRYSTAL-SMD-5X3.2-4PAD,Y1,,yes
,,,,,,
,NES Controller port,(Source via ebay or salvage),,,,
